_ArtistIDpk,ARTIST_nameonlabel,Artist_Last_First,ArtistNameFirst,ArtistNameLast,Artist_yearofbirth,Artist_countryofbirth,Artist_country,Artist_gender,Artist_website,ARTIST_Bio
1456,Bill Brandt,"Brandt, Bill",Bill,Brandt,1905-1983,UK,UK,,http://www.billbrandt.com/,
138,Eliane Brau,"Brau, Eliane",Eliane,Brau,,,,,,
701,Jean-I Brau,"Brau, Jean-I",Jean-I,Brau,,,,,,
216,Ian Breakwell,"Breakwell, Ian",Ian,Breakwell,,,,,,
193,Hans Breder,"Breder, Hans",Hans,Breder,,,,,,
1243,Archie Brennan,"Brennan, Archie",Archie,Brennan,,,,,,
542,Tim Brennan,"Brennan, Tim",Tim,Brennan,,,,,,
1095,Michael Brennand-Wood,"Brennand-Wood, Michael",Michael,Brennand-Wood,,,UK,,,
1034,Anne Brigman,"Brigman, Anne",Anne,Brigman,1869-1950,USA,USA,,,
367,Mel Brimfield,"Brimfield, Mel",Mel,Brimfield,,,,,,
1170,Frederick Lee Brindell,"Brindell, Frederick Lee",Frederick Lee,Brindell,1830-1863,UK,UK,,,
366,Stuart Brisley / Maya Balcioglu,Brisley / Balcioglu,,Brisley / Balcioglu,,,,,,
651,Stuart Brisley and Leslie Haslam,Brisley & Haslam,,Brisley & Haslam,,,,,,
522,Stuart Brisley,"Brisley, Stuart",Stuart,Brisley,,,,,,
1140,Alison Britton,"Britton, Alison",Alison,Britton,,,,,,
752,Alexander Brodsky & Ilya Utkin,Brodsky & Utkin,,Brodsky & Utkin,,,,,,
400,Neil Bromwich,"Bromwich, Neil",Neil,Bromwich,,,,,www.walkerandbromwich.org.uk,
339,Marcel Broodthaers,"Broodthaers, Marcel",Marcel,Broodthaers,,,,,,
986,James Brook,"Brook, James",James,Brook,,,,,,
245,Jason Brooks,"Brooks, Jason",Jason,Brooks,,,,,,
1556,Adam Broomberg and Oliver Chanarin,"Broomberg & Chanarin, ",,Broomberg & Chanarin,,,,,http://www.broombergchanarin.com/,
969,Joan Brossa,"Brossa, Joan",Joan,Brossa,1919-1998,,"Spain, Catalan",,,
1195,Jeremy Broun,"Broun, Jeremy",Jeremy,Broun,,,,,,
758,Don Brown,"Brown, Don",Don,Brown,,,,,,
987,Glenn Brown,"Brown, Glenn",Glenn,Brown,,,,,,
1461,John Brown,"Brown, John",John,Brown,,,,,,
1333,Prof. R. Brown,"Brown, R.",R.,Brown,,,,,,
1420,Vincent Brown,"Brown, Vincent",Vincent,Brown,,,,,,
1462,C. R. Brownridge,"Brownridge, C.R.",C.R.,Brownridge,,,,,,
168,George Brownrigg,"Brownrigg, George",George,Brownrigg,,,,,,
1024,Jean Francois Brun,"Brun, Jean Francois",Jean Francois,Brun,,,France,,,
1016,Johannes Brus,"Brus, Johannes",Johannes,Brus,,,Germany,,,
1283,Wojciech Bruszewski,"Bruszewski, Wojciech",Wojciech,Bruszewski,,,Poland,,,
61,Bronwen Buckeridge,"Buckeridge, Bronwen",Bronwen,Buckeridge,1971,UK,UK,,,
1438,David Buckland,"Buckland, David",David,Buckland,,,,,,
1096,Jo Budd,"Budd, Jo",Jo,Budd,,,,,,
883,Victoria Buivid,"Buivid, Victoria",Victoria,Buivid,,,Russian Federation,,,
148,Eric Bulatov,"Bulatov, Eric",Eric,Bulatov,,,,,,
23,Angela Bulloch,"Bulloch, Angela",Angela,Bulloch,,,,,,
1572,Heath Bunting and Kayle Brandon,Bunting and Brandon,,Bunting and Brandon,,,,,,
662,Heath Bunting,"Bunting, Heath",Heath,Bunting,,,,,,
1546,Pauline Burbidge,"Burbidge, Pauline",Pauline,Burbidge,,,,,,
84,Chris Burden,"Burden, Chris",Chris,Burden,1946,USA,USA,,,
562,Victor Burgin,"Burgin, Victor",Victor,Burgin,1941,UK,UK,,,
1379,Chila Burman,"Burman, Chila",Chila,Burman,,,,,,
527,Susanne Bürner,"Bürner, Susanne",Susanne,Bürner,,,,,,
571,William S. Burroughs,"Burroughs, William S.",William S.,Burroughs,,,,,,
105,D. Burton,"Burton, D.",D.,Burton,,,,,,
1500,Decimus Burton,"Burton, Decimus",Decimus,Burton,1800-1881,,,,,
817,Christine Butler,"Butler, Christine",Christine,Butler,,,,,,
967,Hamad Butt,"Butt, Hamad",Hamad,Butt,1962-1994,Pakistan,UK,,www.hamadbutt.co.uk,
1241,Joanna Buxton,"Buxton, Joanna",Joanna,Buxton,,,,,,
326,Lucy Byatt,"Byatt, Lucy",Lucy,Byatt,,,,,,
1428,James Byrne,"Byrne, James",James,Byrne,,,,,,
1380,Mujassam C-Maan,"C-Maan, Mujassam",Mujassam,C-Maan,,,,,,
918,Xicu Cabanyes,"Cabanyes, Xicu",Xicu,Cabanyes,,,"Spain, Catalonia",,,
510,Sophie Calle,"Calle, Sophie",Sophie,Calle,,,,,,
